Bsmt Qual,1st Flr SF,Garage Area,Gr Liv Area,Overall Qual,Neighborhood,House Style,Exterior 1st,Mas Vnr Type,Foundation,Garage Type,Age,SalePrice
4,1112,438.0,1550,7,22,2Story,CemntBd,Stone,PConc,Attchd,3,241000
3,1696,349.0,1696,5,7,1Story,HdBoard,None,CBlock,Attchd,45,143900
3,546,286.0,1092,4,1,2Story,CemntBd,None,CBlock,CarPort,36,87550
5,1752,576.0,1752,9,27,1Story,MetalSd,BrkFace,PConc,Attchd,5,319900
5,1102,675.0,2473,9,28,2Story,VinylSd,BrkFace,PConc,BuiltIn,0,356383
5,1800,702.0,1800,9,20,1Story,VinylSd,None,PConc,Attchd,2,239000
4,1108,783.0,2197,7,26,2Story,VinylSd,BrkFace,PConc,Attchd,15,287500
3,854,660.0,1382,5,4,1.5Fin,MetalSd,None,CBlock,Detchd,66,128500
4,847,433.0,1733,7,14,2Story,VinylSd,None,PConc,BuiltIn,6,185088
4,1402,625.0,1402,7,22,1Story,VinylSd,None,PConc,Attchd,1,229800
3,887,288.0,887,5,13,1Story,Plywood,None,CBlock,Attchd,23,124500
3,1051,504.0,1051,5,11,1Story,MetalSd,None,CBlock,Attchd,38,142000
3,755,216.0,1510,6,8,2Story,MetalSd,None,PConc,Detchd,86,149000
3,1656,506.0,1656,5,16,1Story,Plywood,BrkFace,CBlock,Detchd,35,135000
4,958,440.0,958,6,12,1Story,Plywood,None,CBlock,Attchd,31,128000
4,3228,546.0,3228,8,26,1Story,BrkFace,None,PConc,Attchd,15,430000
3,1040,686.0,1040,5,7,1Story,HdBoard,None,CBlock,Detchd,39,145000
3,661,552.0,1250,5,19,1.5Fin,Wd Sdng,None,PConc,Detchd,97,139000
4,1140,477.0,1868,6,16,SLvl,VinylSd,BrkFace,CBlock,BuiltIn,23,178000
5,1632,1150.0,2790,10,27,2Story,CemntBd,BrkFace,PConc,BuiltIn,3,460000
3,1445,441.0,2134,6,6,2.5Unf,Wd Sdng,None,BrkTil,Detchd,93,214500
3,948,0.0,1928,5,8,2Story,VinylSd,None,PConc,None,90,160000
4,1022,390.0,2060,7,14,2Story,VinylSd,BrkFace,PConc,BuiltIn,10,214000
3,861,162.0,1378,6,4,1.5Fin,Wd Sdng,None,PConc,Detchd,74,128900
3,1622,1356.0,1622,4,13,1Story,MetalSd,Stone,CBlock,2Types,46,168000
5,955,880.0,1880,8,22,2Story,WdShing,None,PConc,Attchd,0,310013
4,1088,461.0,1088,8,28,1Story,HdBoard,None,CBlock,Attchd,21,170000
3,1040,286.0,1040,5,11,1Story,BrkFace,None,CBlock,Attchd,47,133700
3,900,180.0,1502,6,19,2Story,Wd Sdng,None,PConc,Detchd,84,165000
3,483,264.0,987,6,3,2Story,HdBoard,BrkFace,CBlock,Detchd,37,89500
3,1095,264.0,1095,6,11,SLvl,HdBoard,BrkFace,CBlock,Attchd,48,140000
4,970,380.0,1709,7,5,2Story,VinylSd,Stone,PConc,Detchd,2,134000
4,844,462.0,1731,6,15,2Story,HdBoard,None,PConc,Attchd,14,248500
3,960,364.0,960,4,7,SLvl,VinylSd,None,CBlock,Attchd,41,145000
4,811,434.0,1552,6,16,2Story,VinylSd,None,CBlock,Attchd,31,179900
5,1795,895.0,1795,8,22,1Story,VinylSd,BrkFace,PConc,Attchd,1,147000
4,624,576.0,1274,5,13,2Story,HdBoard,None,PConc,Detchd,19,136000
3,848,576.0,1196,6,6,1.5Fin,MetalSd,None,CBlock,Detchd,70,128000
2,704,220.0,704,4,7,1Story,MetalSd,None,CBlock,CarPort,63,88750
3,972,305.0,972,5,11,1Story,MetalSd,None,CBlock,Attchd,55,122500
3,912,330.0,1458,6,11,1.5Fin,VinylSd,None,CBlock,Attchd,62,97500
3,1008,430.0,1008,6,11,1Story,MetalSd,BrkFace,CBlock,Attchd,43,135000
5,1828,774.0,1828,9,27,1Story,CemntBd,BrkFace,PConc,Attchd,0,314813
3,1013,0.0,1526,3,2,1.5Fin,Plywood,None,CBlock,None,94,85000
3,786,624.0,1176,6,6,1.5Fin,MetalSd,None,BrkTil,Detchd,72,134900
3,1057,288.0,1057,5,5,1Story,MetalSd,Stone,CBlock,Attchd,51,137000
4,2113,839.0,2113,8,26,1Story,MetalSd,BrkFace,PConc,Attchd,13,350000
3,1387,300.0,1387,5,11,1Story,MetalSd,None,CBlock,Attchd,39,145000
5,1722,814.0,2758,9,27,2Story,MetalSd,BrkFace,PConc,BuiltIn,2,418000
3,840,250.0,840,3,4,1Story,Wd Sdng,None,PConc,Detchd,86,64000
3,848,281.0,1520,5,8,1.5Fin,VinylSd,None,BrkTil,Detchd,77,159434
4,1542,852.0,1542,8,22,1Story,VinylSd,BrkFace,PConc,Attchd,0,260261
3,910,720.0,1385,5,11,1.5Fin,BrkFace,None,CBlock,Detchd,58,166000
3,936,288.0,936,5,11,SFoyer,HdBoard,None,CBlock,Attchd,45,130000
2,824,240.0,1288,5,8,1.5Fin,Wd Sdng,None,CBlock,Detchd,65,112000
3,1128,525.0,1128,5,11,1Story,MetalSd,BrkFace,CBlock,Attchd,45,155000
5,774,680.0,1968,8,21,2Story,VinylSd,BrkFace,PConc,BuiltIn,1,269500
3,1246,441.0,1246,6,11,SLvl,HdBoard,None,CBlock,Attchd,42,172000
3,960,240.0,1740,7,19,2Story,Wd Sdng,None,CBlock,Attchd,67,219500
3,925,484.0,925,5,7,1Story,HdBoard,None,PConc,Detchd,43,133500
4,774,400.0,1430,7,14,SLvl,VinylSd,None,PConc,BuiltIn,7,170000
3,930,288.0,1566,8,4,2Story,Wd Sdng,None,BrkTil,Detchd,110,150000
3,950,400.0,950,5,11,1Story,MetalSd,None,PConc,Detchd,55,130000
3,1144,796.0,1144,5,11,SLvl,HdBoard,BrkFace,CBlock,Attchd,47,143000
3,1114,451.0,1114,5,11,1Story,Plywood,None,CBlock,Attchd,47,140000
4,2223,516.0,2223,7,11,1Story,Plywood,BrkFace,CBlock,Attchd,34,244000
3,581,288.0,1111,5,2,2.5Unf,MetalSd,None,BrkTil,Detchd,87,101000
3,960,624.0,960,5,4,1Story,HdBoard,None,CBlock,Detchd,48,125000
4,932,460.0,1633,6,14,2Story,VinylSd,None,PConc,Attchd,10,183000
3,929,0.0,2229,6,4,2.5Fin,Wd Sdng,None,CBlock,None,97,104000
3,984,280.0,984,6,11,1.5Unf,MetalSd,None,CBlock,Detchd,54,112500
4,1686,612.0,1686,6,16,1Story,Plywood,BrkFace,CBlock,Attchd,26,207500
4,1614,576.0,1614,7,20,1Story,VinylSd,BrkFace,PConc,Attchd,1,225000
3,864,297.0,864,5,20,1Story,VinylSd,None,CBlock,Detchd,34,119900
5,1740,874.0,1740,7,27,1Story,VinylSd,Stone,PConc,Attchd,0,293000
3,1721,440.0,1721,5,7,1Story,Plywood,None,CBlock,Attchd,38,180000
3,1034,888.0,1034,6,13,SLvl,HdBoard,BrkFace,CBlock,Attchd,34,169900
0,1318,539.0,1902,6,7,1.5Fin,VinylSd,None,Slab,Attchd,32,112000
4,1097,480.0,1097,6,15,1Story,HdBoard,None,PConc,Attchd,26,152000
4,1117,670.0,2206,9,27,2Story,VinylSd,BrkFace,PConc,BuiltIn,1,300000
3,1117,672.0,1117,6,5,SLvl,Plywood,None,CBlock,Detchd,34,107000
3,1246,560.0,2290,4,4,2Story,VinylSd,None,PConc,Detchd,125,122500
3,483,264.0,948,6,3,2Story,HdBoard,BrkFace,CBlock,Detchd,34,89000
2,600,231.0,919,6,8,1.5Fin,VinylSd,None,CBlock,Detchd,70,95000
3,1152,412.0,1152,6,16,1Story,MetalSd,BrkFace,CBlock,Attchd,39,143450
5,1627,751.0,2334,9,27,2Story,VinylSd,Stone,PConc,Attchd,1,376162
3,1264,461.0,1264,5,11,1Story,MetalSd,BrkFace,CBlock,Attchd,50,167500
4,1224,528.0,1224,5,15,SFoyer,Plywood,Stone,CBlock,Detchd,30,153337
3,697,300.0,1369,6,5,2Story,Wd Sdng,None,BrkTil,Detchd,84,103600
3,894,308.0,894,5,20,1Story,HdBoard,None,CBlock,Attchd,34,128200
4,769,440.0,1573,6,22,2Story,MetalSd,BrkFace,PConc,Detchd,10,177500
4,1687,756.0,2250,8,27,2Story,VinylSd,BrkFace,PConc,Attchd,8,320000
4,819,394.0,1514,6,14,2Story,VinylSd,None,PConc,Attchd,9,190000
3,672,0.0,1218,6,3,2Story,CemntBd,BrkFace,CBlock,None,35,91500
3,811,256.0,1387,5,4,1.5Fin,Wd Sdng,None,CBlock,BuiltIn,55,93000
3,649,250.0,1317,4,2,2Story,BrkFace,None,BrkTil,Detchd,88,40000
3,773,0.0,1355,6,2,2Story,Wd Sdng,None,PConc,None,93,127000
3,952,330.0,952,4,2,1Story,Wd Sdng,None,CBlock,Detchd,114,50138
3,1113,504.0,1113,6,5,1Story,HdBoard,BrkFace,CBlock,Attchd,31,148000
3,778,924.0,778,5,2,1Story,VinylSd,None,CBlock,Detchd,68,120500
3,944,240.0,1489,6,8,1.5Fin,VinylSd,None,BrkTil,Detchd,69,139500
5,1698,768.0,1698,9,5,1Story,CemntBd,Stone,PConc,Attchd,2,320000
3,1262,498.0,2267,7,7,2Story,Wd Sdng,None,CBlock,Attchd,70,219000
4,902,484.0,902,5,13,1Story,HdBoard,None,CBlock,Attchd,23,131000
4,738,440.0,1495,6,14,2Story,VinylSd,None,PConc,Attchd,1,171925
4,1384,404.0,1384,5,14,1Story,HdBoard,None,PConc,Attchd,12,177900
3,851,228.0,1436,6,19,2Story,VinylSd,None,BrkTil,Detchd,86,141500
4,952,440.0,1636,6,14,2Story,VinylSd,None,PConc,Attchd,11,191000
4,1158,576.0,1158,6,15,1Story,VinylSd,None,PConc,Detchd,2,158000
4,1646,870.0,1646,8,21,1Story,VinylSd,Stone,PConc,Attchd,1,248900
4,981,240.0,1768,5,8,1.5Fin,Wd Sdng,BrkFace,BrkTil,Detchd,70,175000
3,1565,299.0,1565,6,11,1Story,BrkFace,None,PConc,Attchd,41,185900
4,880,320.0,1768,7,4,2.5Unf,Wd Sdng,None,BrkTil,Detchd,92,163000
3,1060,0.0,1396,5,2,1.5Fin,WdShing,None,CBlock,None,55,115000
3,1096,484.0,1096,6,7,SLvl,HdBoard,BrkFace,CBlock,Attchd,30,157500
4,1223,658.0,2312,7,14,2Story,VinylSd,BrkFace,PConc,BuiltIn,10,245000
4,1337,462.0,1337,8,28,1Story,HdBoard,None,PConc,Attchd,15,180000
4,551,480.0,1102,7,22,2Story,MetalSd,None,PConc,Detchd,3,148800
4,1128,577.0,2031,8,20,2Story,VinylSd,None,PConc,Attchd,6,237000
3,438,246.0,438,2,8,1Story,Wd Sdng,None,CBlock,Detchd,89,60000
4,1033,504.0,1033,5,5,SFoyer,HdBoard,BrkFace,CBlock,BuiltIn,32,165000
4,1129,596.0,2327,7,20,2Story,VinylSd,None,PConc,BuiltIn,5,240000
4,1187,420.0,1187,7,14,1Story,HdBoard,BrkFace,PConc,Attchd,15,160000
3,816,440.0,1340,6,8,1.5Fin,Wd Sdng,None,CBlock,Attchd,61,128000
0,1152,0.0,1152,4,5,1Story,AsbShng,None,PConc,None,53,82000
3,1567,542.0,1567,6,11,1Story,MetalSd,BrkFace,CBlock,Attchd,43,256000
3,832,324.0,1482,7,4,2Story,VinylSd,None,PConc,Detchd,89,143000
4,1689,433.0,1689,7,21,1Story,VinylSd,None,PConc,Attchd,1,231713
4,1424,828.0,1424,5,14,1Story,HdBoard,None,CBlock,2Types,38,155000
3,816,264.0,816,5,13,1Story,VinylSd,None,CBlock,Attchd,25,128500
3,1424,312.0,1424,7,8,1Story,WdShing,BrkFace,BrkTil,Attchd,87,168000
3,725,484.0,1479,7,11,2Story,HdBoard,BrkFace,CBlock,Attchd,35,184000
3,1025,0.0,1025,5,11,SFoyer,MetalSd,None,CBlock,None,44,124000
3,1442,615.0,1442,6,16,1Story,HdBoard,BrkFace,CBlock,Attchd,39,185000
4,1454,504.0,1936,8,14,2Story,VinylSd,BrkFace,PConc,Attchd,6,230500
4,1070,555.0,1939,7,20,2Story,VinylSd,BrkFace,PConc,Attchd,8,227000
4,738,540.0,1476,6,20,2Story,VinylSd,None,PConc,Attchd,4,173500
4,898,326.0,898,5,11,SFoyer,HdBoard,None,CBlock,Attchd,38,140000
5,1460,480.0,1460,8,22,1Story,VinylSd,None,PConc,Attchd,2,247000
4,1034,504.0,1034,6,7,SFoyer,Plywood,BrkFace,CBlock,Basment,31,149900
4,1174,528.0,1174,5,20,1Story,HdBoard,BrkFace,CBlock,Attchd,30,158000
4,530,496.0,1080,7,22,2Story,VinylSd,None,PConc,Attchd,7,147110
3,780,198.0,1376,6,2,1.5Fin,MetalSd,None,BrkTil,Detchd,69,119500
3,840,440.0,1567,5,19,1.5Fin,Wd Sdng,None,CBlock,Detchd,69,205000
4,751,0.0,1534,5,4,2Story,Wd Sdng,None,CBlock,None,112,148000
4,1616,608.0,1616,8,28,1Story,CemntBd,None,PConc,Attchd,15,236500
2,1058,240.0,1551,5,8,1.5Fin,MetalSd,None,BrkTil,Detchd,68,137000
3,960,330.0,960,5,11,1Story,Wd Sdng,None,CBlock,Attchd,54,122000
4,1302,436.0,1302,7,14,1Story,VinylSd,None,PConc,Attchd,0,176485
3,816,210.0,816,5,6,1Story,MetalSd,None,BrkTil,Detchd,81,109000
4,1502,286.0,1502,7,25,1Story,Wd Sdng,BrkFace,PConc,Attchd,9,330000
3,1133,308.0,1133,6,4,1Story,VinylSd,None,PConc,Detchd,0,143000
5,1671,806.0,3078,9,26,2Story,MetalSd,BrkFace,PConc,Attchd,9,410000
4,936,471.0,1721,6,15,2Story,HdBoard,BrkFace,PConc,Attchd,13,201000
2,981,648.0,1760,4,4,1.5Fin,VinylSd,None,BrkTil,Detchd,96,80000
3,1436,180.0,2320,6,19,2Story,Wd Sdng,None,CBlock,Detchd,62,259500
4,1146,452.0,2486,7,21,2Story,VinylSd,BrkFace,PConc,BuiltIn,4,279900
3,1246,305.0,1246,5,11,1Story,BrkFace,None,CBlock,Attchd,51,154000
4,1444,389.0,2144,6,23,1.5Fin,Wd Sdng,BrkCmn,CBlock,Attchd,49,277000
3,799,215.0,1150,5,5,1.5Fin,BrkFace,None,BrkTil,BuiltIn,64,128000
4,1600,890.0,1600,8,27,1Story,VinylSd,Stone,PConc,Attchd,2,256300
3,1230,231.0,1755,4,19,1.5Fin,AsbShng,None,BrkTil,Detchd,77,188000
5,1800,765.0,1800,8,21,1Story,VinylSd,BrkFace,PConc,Attchd,4,312500
4,600,480.0,1200,7,22,2Story,MetalSd,None,PConc,Detchd,6,151000
3,765,440.0,1365,5,3,2Story,HdBoard,BrkFace,CBlock,Detchd,36,122500
4,835,542.0,1696,6,15,2Story,VinylSd,None,PConc,Attchd,5,188000
4,945,638.0,1809,7,20,2Story,VinylSd,None,PConc,Attchd,1,209700
5,2234,724.0,2234,8,28,1Story,VinylSd,BrkFace,PConc,Attchd,1,441929
4,886,474.0,1680,6,15,2Story,HdBoard,BrkFace,PConc,Attchd,15,163000
3,976,444.0,2087,6,23,2Story,HdBoard,BrkFace,CBlock,Attchd,41,187500
4,1513,521.0,1513,8,20,1Story,VinylSd,BrkFace,PConc,Attchd,10,220000
3,1107,308.0,1107,5,11,1Story,MetalSd,None,CBlock,Attchd,40,127000
0,827,392.0,827,5,11,1Story,VinylSd,None,Slab,Detchd,55,107500
3,742,0.0,1484,6,4,2.5Unf,Wd Sdng,None,CBlock,None,94,128000
2,764,504.0,764,5,4,1Story,Wd Sdng,None,BrkTil,Detchd,83,73000
5,1792,874.0,1792,9,27,1Story,VinylSd,BrkFace,PConc,Attchd,3,374000
5,1515,746.0,2649,8,27,2Story,VinylSd,BrkFace,PConc,Attchd,7,421250
4,808,389.0,1593,6,14,2Story,VinylSd,None,PConc,BuiltIn,17,178000
4,1181,588.0,1181,4,5,SFoyer,Plywood,None,CBlock,Detchd,36,137500
4,1987,691.0,1987,8,26,1Story,HdBoard,BrkFace,PConc,Attchd,14,301500
3,647,180.0,1242,6,8,2Story,Wd Sdng,None,BrkTil,Detchd,74,105000
3,976,504.0,976,6,11,1Story,HdBoard,BrkFace,CBlock,Attchd,38,157500
3,969,216.0,1214,5,4,1.5Fin,AsbShng,None,CBlock,Detchd,106,117000
3,864,336.0,864,5,11,1Story,Wd Sdng,None,CBlock,Attchd,44,105000
3,1166,240.0,1639,6,8,1.5Fin,MetalSd,None,BrkTil,Detchd,72,115000
5,1736,834.0,1736,9,27,1Story,VinylSd,Stone,PConc,Attchd,1,360000
0,1535,400.0,1535,5,15,1Story,Plywood,None,Slab,Attchd,30,118858
3,800,484.0,1632,6,16,2Story,HdBoard,BrkFace,CBlock,Attchd,42,173000
3,725,320.0,725,3,4,1Story,VinylSd,None,BrkTil,Detchd,119,78500
4,840,440.0,1720,7,14,2Story,VinylSd,None,PConc,Attchd,3,183500
2,936,576.0,936,4,4,1Story,MetalSd,None,CBlock,Detchd,56,93000
4,1589,630.0,1589,8,18,1Story,VinylSd,BrkFace,PConc,Attchd,4,226500
4,799,380.0,1571,6,14,2Story,VinylSd,None,PConc,Attchd,16,178000
4,1479,558.0,1479,7,20,1Story,VinylSd,BrkFace,PConc,Attchd,4,226000
3,784,898.0,1632,5,13,2Story,VinylSd,BrkFace,CBlock,Attchd,40,173000
3,864,360.0,864,5,7,1Story,MetalSd,None,CBlock,Detchd,44,62383
5,1476,858.0,2713,9,27,2Story,VinylSd,Stone,PConc,Attchd,0,446261
3,743,312.0,1479,7,8,2Story,Wd Sdng,None,BrkTil,Detchd,80,160000
4,1576,668.0,1576,7,18,1Story,VinylSd,BrkFace,PConc,Attchd,4,219990
4,1479,577.0,1479,7,20,1Story,VinylSd,BrkFace,PConc,Attchd,9,191000
3,916,308.0,1060,5,6,1Story,MetalSd,None,PConc,Detchd,82,136500
0,943,308.0,943,4,5,1Story,HdBoard,None,Slab,Detchd,49,80000
4,1377,786.0,2183,7,16,1.5Fin,HdBoard,BrkFace,PConc,Attchd,18,229000
4,1062,574.0,1949,7,15,2Story,MetalSd,BrkFace,PConc,Attchd,17,236000
5,1824,932.0,1824,10,21,1Story,MetalSd,BrkFace,PConc,Attchd,1,392000
3,1146,316.0,1930,6,2,2Story,Plywood,None,CBlock,Attchd,82,149000
4,1469,846.0,2393,10,22,2Story,BrkFace,None,PConc,Attchd,10,345000
2,1007,624.0,2014,5,4,2Story,CemntBd,None,PConc,Detchd,106,169000
3,1242,336.0,1242,4,5,1Story,Wd Sdng,None,CBlock,Attchd,61,109900
4,996,650.0,2000,7,13,2Story,HdBoard,BrkFace,PConc,Attchd,13,188000
3,825,280.0,1412,6,6,1.5Fin,MetalSd,None,CBlock,Detchd,70,132500
3,990,440.0,990,5,20,1Story,VinylSd,None,PConc,Attchd,15,143000
2,1342,256.0,1342,5,5,1Story,Wd Sdng,None,CBlock,Detchd,56,125000
5,1868,1085.0,1868,9,27,1Story,VinylSd,BrkFace,PConc,Attchd,1,415000
2,741,528.0,1363,4,4,2Story,VinylSd,None,CBlock,Detchd,100,125500
3,1632,338.0,1632,6,11,1Story,Wd Sdng,BrkCmn,CBlock,Attchd,51,139000
5,1728,842.0,2296,10,27,2Story,CemntBd,Stone,PConc,BuiltIn,1,451950
3,1678,0.0,1678,5,5,1Story,VinylSd,BrkFace,CBlock,None,50,119900
5,1296,471.0,1296,8,21,1Story,VinylSd,BrkFace,PConc,Attchd,8,220000
3,1587,525.0,1587,6,11,1Story,MetalSd,BrkFace,CBlock,Attchd,36,167300
3,854,256.0,1298,5,5,1.5Fin,Wd Sdng,None,CBlock,Detchd,68,122000
3,1728,504.0,1728,5,7,1Story,HdBoard,BrkFace,CBlock,Detchd,43,125000
3,928,288.0,928,5,4,1Story,BrkFace,None,CBlock,Attchd,51,112500
4,879,578.0,1795,7,20,2Story,VinylSd,None,PConc,Attchd,2,191000
3,1080,288.0,1080,6,11,1Story,MetalSd,BrkFace,CBlock,Attchd,50,136000
4,866,546.0,1779,7,20,2Story,VinylSd,None,PConc,Attchd,11,197900
3,1001,255.0,1635,6,4,1.5Fin,VinylSd,None,CBlock,Attchd,96,117000
4,1220,632.0,1220,7,20,1Story,VinylSd,Stone,PConc,Attchd,0,194000
5,1310,545.0,1310,9,22,1Story,VinylSd,BrkFace,PConc,Attchd,7,285000
3,808,0.0,1355,5,5,1.5Fin,Wd Sdng,None,BrkTil,None,68,127500
4,1166,590.0,2295,7,26,2Story,HdBoard,None,PConc,Attchd,14,268000
3,1156,342.0,1798,4,4,2Story,MetalSd,None,PConc,Detchd,107,137000
3,1620,578.0,1620,7,16,1Story,Plywood,None,CBlock,Attchd,41,215000
3,1216,336.0,1216,5,11,1Story,MetalSd,None,CBlock,Attchd,52,129500
4,896,240.0,1344,5,6,1.5Fin,MetalSd,None,BrkTil,Detchd,70,115000
3,747,288.0,1159,5,4,1.5Fin,VinylSd,None,PConc,Detchd,83,114000
3,1056,384.0,1056,4,15,1Story,HdBoard,None,CBlock,Detchd,40,107000
3,832,336.0,1216,5,11,1.5Fin,MetalSd,None,CBlock,Detchd,61,118500
3,950,208.0,1158,6,6,1.5Fin,WdShing,None,BrkTil,BuiltIn,79,120000
4,1538,484.0,1538,8,22,1Story,VinylSd,BrkFace,PConc,Attchd,2,260000
3,1143,308.0,1143,5,11,1Story,MetalSd,BrkFace,CBlock,Attchd,51,136000
3,872,480.0,872,4,11,1Story,MetalSd,None,CBlock,Detchd,36,123000
3,1035,0.0,1406,6,2,1.5Fin,MetalSd,None,CBlock,None,88,89500
4,1324,430.0,1324,6,14,1Story,VinylSd,None,PConc,Attchd,5,199500
3,904,408.0,904,5,7,1Story,HdBoard,BrkCmn,PConc,Attchd,42,109900
4,1276,282.0,2080,7,19,2Story,MetalSd,None,BrkTil,Detchd,83,234000
4,848,420.0,848,6,20,1Story,VinylSd,BrkFace,PConc,Attchd,2,155900
3,1104,304.0,1788,4,23,1.5Fin,Wd Sdng,None,CBlock,Attchd,52,161500
3,1344,525.0,1344,6,21,SLvl,HdBoard,BrkFace,CBlock,Basment,51,137500
3,1128,0.0,2256,5,4,2Story,MetalSd,None,BrkTil,None,100,76500
4,1164,521.0,2060,6,23,2Story,Plywood,BrkFace,PConc,Attchd,19,211000
4,1337,511.0,1337,6,11,1Story,MetalSd,None,PConc,Attchd,10,181000
3,1165,490.0,1165,6,11,SLvl,HdBoard,BrkFace,CBlock,Attchd,42,174900
3,1320,564.0,1320,5,7,SLvl,VinylSd,BrkFace,CBlock,Attchd,40,164500
4,1535,532.0,1535,7,27,1Story,VinylSd,BrkFace,PConc,Attchd,6,214000
4,1277,489.0,2044,7,16,2Story,HdBoard,BrkFace,CBlock,Attchd,28,185000
3,624,336.0,1136,4,6,1.5Fin,MetalSd,None,PConc,Detchd,79,123000
4,1299,486.0,1299,6,13,SFoyer,HdBoard,None,CBlock,BuiltIn,28,183500
4,764,492.0,1441,8,22,2Story,MetalSd,BrkFace,PConc,Detchd,8,174000
3,1630,649.0,1630,5,5,1Story,MetalSd,None,CBlock,Detchd,54,130000
3,832,546.0,1641,7,4,2Story,Wd Sdng,None,BrkTil,Detchd,81,178000
4,928,482.0,1629,5,14,2Story,VinylSd,None,PConc,Attchd,13,189900
4,848,420.0,848,6,20,1Story,VinylSd,BrkFace,PConc,Attchd,6,144000
3,816,432.0,816,6,2,1Story,Wd Sdng,None,BrkTil,Detchd,78,120500
4,1097,672.0,1097,5,20,1Story,VinylSd,None,PConc,Attchd,15,145000
4,1652,499.0,1652,8,28,1Story,CemntBd,None,PConc,Attchd,7,251000
3,1768,0.0,1768,4,7,1Story,HdBoard,None,CBlock,None,42,136500
0,1152,0.0,1152,4,5,1Story,WdShing,BrkCmn,Slab,None,53,82500
0,810,280.0,810,2,2,1Story,Wd Sdng,None,CBlock,Detchd,99,57625
4,1358,484.0,1358,7,27,1Story,VinylSd,Stone,PConc,Attchd,2,212500
5,1216,402.0,1216,6,13,1Story,VinylSd,BrkFace,PConc,Attchd,8,164000
3,967,384.0,1638,6,2,1.5Fin,MetalSd,BrkFace,CBlock,Detchd,49,139000
4,624,462.0,1252,7,22,2Story,MetalSd,BrkFace,PConc,Detchd,9,160000
4,883,698.0,883,5,13,SFoyer,HdBoard,None,PConc,Detchd,17,149000
3,874,288.0,874,5,13,1Story,HdBoard,None,CBlock,Attchd,41,130000
3,902,480.0,1710,7,4,2Story,Stucco,None,BrkTil,Detchd,89,140000
4,1836,517.0,1836,8,22,1Story,VinylSd,BrkFace,PConc,Attchd,1,264500
3,1092,299.0,1092,5,11,1Story,Wd Sdng,None,CBlock,Attchd,49,141000
4,1241,569.0,1241,7,22,1Story,VinylSd,None,PConc,Attchd,1,199900
4,1334,630.0,1334,6,16,1Story,Plywood,BrkFace,CBlock,Attchd,32,167900
3,1429,572.0,1429,6,11,1Story,Wd Sdng,BrkFace,CBlock,Attchd,47,181900
4,1566,750.0,1566,8,22,1Story,VinylSd,Stone,PConc,Attchd,2,262500
4,1316,520.0,2288,7,16,2Story,HdBoard,BrkFace,PConc,Attchd,32,230000
5,1709,506.0,1709,9,22,1Story,MetalSd,BrkFace,PConc,Attchd,9,328900
4,1721,554.0,1721,8,27,1Story,VinylSd,BrkFace,PConc,Attchd,2,232698
4,1254,810.0,1254,8,20,1Story,VinylSd,BrkFace,PConc,Attchd,1,221800
3,864,627.0,1350,5,7,1.5Fin,Wd Sdng,None,BrkTil,2Types,67,152400
4,1630,451.0,1630,7,20,1Story,VinylSd,BrkFace,PConc,Attchd,9,213000
4,831,449.0,1585,7,15,2Story,VinylSd,BrkFace,PConc,Attchd,1,184900
3,1336,375.0,1336,5,19,1Story,MetalSd,BrkFace,CBlock,Attchd,53,157000
3,1211,576.0,1211,5,7,1Story,HdBoard,None,CBlock,Detchd,44,144000
4,1353,478.0,1353,6,16,1Story,MetalSd,BrkFace,CBlock,Attchd,28,192350
3,1200,440.0,1200,7,11,1Story,HdBoard,BrkFace,CBlock,Attchd,41,163500
4,1532,514.0,2329,7,15,2Story,HdBoard,BrkFace,PConc,Attchd,18,262280
4,1536,532.0,1536,7,20,1Story,VinylSd,BrkFace,PConc,Attchd,6,214000
3,1811,470.0,1811,6,19,1Story,Stone,None,PConc,Attchd,50,230000
5,1071,947.0,2172,7,27,2Story,VinylSd,BrkFace,PConc,Attchd,1,280000
3,1073,720.0,1073,4,2,1Story,MetalSd,None,CBlock,Detchd,50,140000
3,1051,442.0,1839,6,11,2Story,MetalSd,BrkFace,CBlock,Attchd,44,155000
3,1020,0.0,1020,3,2,1.5Unf,Wd Sdng,None,BrkTil,None,88,64500
4,964,1017.0,1802,6,15,2Story,VinylSd,BrkFace,PConc,2Types,17,218000
3,1009,576.0,1009,5,20,SLvl,Plywood,BrkFace,CBlock,Detchd,30,160000
4,1338,598.0,1338,8,22,1Story,VinylSd,None,PConc,Attchd,0,208900
0,3820,624.0,3820,5,5,1Story,Plywood,None,Slab,Attchd,49,284700
4,703,540.0,1392,7,22,2Story,VinylSd,None,PConc,Detchd,1,146000
4,1288,500.0,1288,8,24,1Story,BrkFace,None,PConc,Attchd,12,245500
3,1013,160.0,1013,6,6,1.5Unf,MetalSd,None,BrkTil,Detchd,82,113000
5,1782,932.0,1782,8,27,1Story,VinylSd,BrkFace,PConc,Attchd,5,296000
5,1922,676.0,1922,9,28,1Story,VinylSd,Stone,PConc,Attchd,2,377426
5,1718,786.0,1718,10,27,1Story,CemntBd,Stone,PConc,Attchd,3,337500
5,2492,949.0,2492,10,27,1Story,CemntBd,Stone,PConc,Attchd,5,552000
2,624,265.0,936,4,5,1.5Fin,VinylSd,None,CBlock,Attchd,58,97900
4,1218,676.0,1218,6,22,1Story,VinylSd,None,PConc,Attchd,0,208300
